"ONTOLOGY"	"ID"	"Description"	"GeneRatio"	"BgRatio"	"pvalue"	"p.adjust"	"qvalue"	"geneID"	"Count"
"GO:0097530"	"BP"	"GO:0097530"	"granulocyte migration"	"30/1074"	"156/18870"	3.5593867606397e-09	6.31834557169164e-07	5.4236098650569e-07	"CXCL2/MAPK3/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/CXCL6/RAC2/CXCL9/S100A8/CXADR/CXCL13/SLAMF8/FCER1G/S100A9/S100A12/CXCL1/PPIB/CXCL10/CXCL11/CXCL8/PDE4B/EMP2/CCL5/CCL4/CCL18/CCL3"	30
"GO:0070665"	"BP"	"GO:0070665"	"positive regulation of leukocyte proliferation"	"31/1074"	"166/18870"	4.1092865915824e-09	7.12080662227065e-07	6.11243506793022e-07	"PTPRC/JAK2/CSF2RB/CD40/TNFSF13B/CORO1A/MAPK3/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/RAC2/PTPN22/IL2RA/HAVCR2/IL21/IL18/VCAM1/IL12A/LGALS9/GPR183/CD28/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/LYN/CCL5"	31
"GO:0002757"	"BP"	"GO:0002757"	"immune response-activating signaling pathway"	"60/1074"	"473/18870"	4.57791131642196e-09	7.74838106067885e-07	6.65113920758002e-07	"FYN/TYROBP/BIRC3/PRKCH/LCP2/EIF2AK2/PTPRC/OAS1/ESR1/CD40/IKBKB/KCNN4/CD79A/GATA3/LPXN/IFIH1/GBP1/TNFAIP3/NMI/IRF1/FCHO1/SMPDL3B/THEMIS2/PTPN22/KLRC1/HAVCR2/IRF4/SLC39A6/CD226/BANK1/CD8A/OTULIN/GBP5/PIK3AP1/FCER1G/CD3G/SCIMP/LAPTM5/CTSS/TRAT1/MNDA/AIM2/CLEC4E/CD3D/PTPN2/YES1/CD28/SH2D1A/PDE4B/LILRB4/FPR3/PLSCR1/CD47/PLCG2/CD3E/KLRC3/IGKC/KLRK1/HLA-DPB1/LYN"	60
"GO:0002429"	"BP"	"GO:0002429"	"immune response-activating cell surface receptor signaling pathway"	"46/1074"	"318/18870"	5.23169235747581e-09	8.65369476766113e-07	7.42825218699018e-07	"FYN/TYROBP/PRKCH/LCP2/PTPRC/OAS1/IKBKB/KCNN4/CD79A/GATA3/LPXN/GBP1/TNFAIP3/NMI/FCHO1/THEMIS2/PTPN22/KLRC1/SLC39A6/CD226/BANK1/CD8A/PIK3AP1/FCER1G/CD3G/SCIMP/LAPTM5/TRAT1/MNDA/CD3D/PTPN2/YES1/CD28/SH2D1A/PDE4B/LILRB4/FPR3/PLSCR1/CD47/PLCG2/CD3E/KLRC3/IGKC/KLRK1/HLA-DPB1/LYN"	46
"GO:1990868"	"BP"	"GO:1990868"	"response to chemokine"	"23/1074"	"99/18870"	5.57934140928952e-09	8.82748842974111e-07	7.57743507188405e-07	"FOXC1/CXCL2/CCL17/CCL7/CCL2/CCL8/CCL20/PADI2/PTK2B/CCR2/CXCL6/CXCL9/CXCL13/CXCL1/CXCL10/CXCL11/CXCL8/ROBO1/LYN/CCL5/CCL4/CCL18/CCL3"	23
"GO:1990869"	"BP"	"GO:1990869"	"cellular response to chemokine"	"23/1074"	"99/18870"	5.57934140928952e-09	8.82748842974111e-07	7.57743507188405e-07	"FOXC1/CXCL2/CCL17/CCL7/CCL2/CCL8/CCL20/PADI2/PTK2B/CCR2/CXCL6/CXCL9/CXCL13/CXCL1/CXCL10/CXCL11/CXCL8/ROBO1/LYN/CCL5/CCL4/CCL18/CCL3"	23
"GO:0002443"	"BP"	"GO:0002443"	"leukocyte mediated immunity"	"59/1074"	"466/18870"	6.61929976650731e-09	1.02500561065192e-06	8.79855411292741e-07	"TYROBP/WAS/SLAMF7/CD84/PTPRC/CSF2RB/IL2RB/GZMB/CD40/CORO1A/IL4I1/NKG7/JAK3/PIK3CG/GATA3/CTSC/KLRB1/CD2/CD80/CCR2/SASH3/CXCL6/RAC2/KLRC1/HAVCR2/IL21/ANXA3/CD226/IL18/CD96/CD8A/BATF/FCER1G/SCIMP/C2/IL7R/IL12A/LGALS9/C1QB/C1QA/EXO1/CD28/GATA2/SH2D1A/LILRB4/ZP3/S100A13/PLCG2/TAP2/HLA-DRA/KLRC3/IGKC/KLRK1/EMP2/C4B/C4A/LYN/IGLL5/CCL3"	59
"GO:0032729"	"BP"	"GO:0032729"	"positive regulation of type II interferon production"	"20/1074"	"77/18870"	7.05703294500019e-09	1.07002262028565e-06	9.1849759931088e-07	"SLC11A1/IL12RB2/JAK2/CD2/CCR2/SASH3/PTPN22/HAVCR2/IL21/IRF8/CD226/IL18/IL12A/LGALS9/PDE4B/ZP3/CD3E/KLRK1/HLA-DPB1/HLA-DPA1"	20
"GO:0006935"	"BP"	"GO:0006935"	"chemotaxis"	"59/1074"	"468/18870"	7.76416359052829e-09	1.15321597167071e-06	9.89910008803123e-07	"SEMA3F/SEMA3G/PLAUR/SEMA3B/F7/CXCL2/CORO1A/MAPK3/CCL17/TSC2/PIK3CG/HSPB1/CCL7/CCL2/CCL8/SMOC2/THBS4/PDGFRB/CCL20/PADI2/PTK2B/CCR2/CXCL6/GPR18/RAC2/CXCL9/PIP5K1A/S100A8/CXCL14/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/CXCL16/VCAM1/S100A9/S100A12/CXCL1/HMGB2/PPIB/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/GPR183/ROBO1/PTPN2/PDE4B/FPR3/AIF1/KLRK1/LTB4R2/LYN/CCL5/CCL4/CCL18/CCL3"	59
"GO:0031349"	"BP"	"GO:0031349"	"positive regulation of defense response"	"60/1074"	"480/18870"	7.97499195207034e-09	1.16083982854336e-06	9.96454257590263e-07	"FYN/TYROBP/BIRC3/EIF2AK2/OAS1/ESR1/CD40/MAPK3/IKBKB/NKG7/PIK3CG/CTSC/IFNG/IFIH1/TNFAIP3/CCR2/OPTN/NMI/ZBP1/IRF1/MED1/GRPR/SMPDL3B/IDO1/PTPN22/KLRC1/HAVCR2/IRF4/IL21/S100A8/PLA2G7/CD226/IL18/OTULIN/GBP5/PIK3AP1/SCIMP/CTSS/S100A9/S100A12/MNDA/IFI16/AIM2/HMGB2/CLEC4E/IL12A/MMRN2/CD28/SH2D1A/PLSCR1/ZP3/CD47/CASP4/PLCG2/KLRC3/KLRK1/LYN/MMP12/CCL5/CCL3"	60
"GO:0045787"	"BP"	"GO:0045787"	"positive regulation of cell cycle"	"47/1074"	"334/18870"	8.731042474957e-09	1.24597112024975e-06	1.06953017727285e-06	"DBF4/PKD1/RAD18/SPAG5/BIRC5/RANBP1/FAM83D/EZH2/SLC6A4/NCAPG/CCND1/RAD51AP1/SMOC2/PDGFRB/SMC4/ECT2/CDC20/STIL/MED1/DLGAP5/FOXA1/RARA/CCNB1/TBX3/RDX/NUSAP1/KIF23/BRCA2/IGF1R/PLK4/CDCA5/INCENP/PRKCA/MAD2L1/FEN1/BUB1/CDK1/INSR/RRM2/UBE2C/CD28/PBX1/EIF4EBP1/PLSCR1/PLCG2/SMC5/AIF1"	47
"GO:0042330"	"BP"	"GO:0042330"	"taxis"	"59/1074"	"470/18870"	9.09582057335051e-09	1.27306504101625e-06	1.09278735025982e-06	"SEMA3F/SEMA3G/PLAUR/SEMA3B/F7/CXCL2/CORO1A/MAPK3/CCL17/TSC2/PIK3CG/HSPB1/CCL7/CCL2/CCL8/SMOC2/THBS4/PDGFRB/CCL20/PADI2/PTK2B/CCR2/CXCL6/GPR18/RAC2/CXCL9/PIP5K1A/S100A8/CXCL14/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/CXCL16/VCAM1/S100A9/S100A12/CXCL1/HMGB2/PPIB/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/GPR183/ROBO1/PTPN2/PDE4B/FPR3/AIF1/KLRK1/LTB4R2/LYN/CCL5/CCL4/CCL18/CCL3"	59
"GO:0097529"	"BP"	"GO:0097529"	"myeloid leukocyte migration"	"38/1074"	"242/18870"	1.19618942086294e-08	1.64261634057367e-06	1.41000679499931e-06	"CD9/CXCL2/MAPK3/CCL17/PIK3CG/CCL7/CCL2/CCL8/THBS4/CCL20/PTK2B/CCR2/CXCL6/RAC2/CXCL9/S100A8/PLA2G7/CXADR/CXCL13/SLAMF8/FCER1G/S100A9/S100A12/CXCL1/PPIB/ROR2/CXCL10/CXCL11/CXCL8/PDE4B/CD47/AIF1/EMP2/LYN/CCL5/CCL4/CCL18/CCL3"	38
"GO:0002764"	"BP"	"GO:0002764"	"immune response-regulating signaling pathway"	"61/1074"	"500/18870"	1.49667775378063e-08	2.0171890170399e-06	1.73153654360391e-06	"FYN/TYROBP/BIRC3/PRKCH/LCP2/EIF2AK2/PTPRC/OAS1/ESR1/CD40/IKBKB/KCNN4/CD79A/GATA3/LPXN/IFIH1/GBP1/TNFAIP3/NMI/IRF1/FCHO1/SMPDL3B/THEMIS2/PTPN22/KLRC1/HAVCR2/IRF4/SLC39A6/CD226/BANK1/CD8A/OTULIN/GBP5/PIK3AP1/FCER1G/CD3G/SCIMP/LAPTM5/CTSS/TRAT1/MNDA/AIM2/CLEC4E/CD3D/PTPN2/YES1/CD28/SH2D1A/PDE4B/BTLA/LILRB4/FPR3/PLSCR1/CD47/PLCG2/CD3E/KLRC3/IGKC/KLRK1/HLA-DPB1/LYN"	61
"GO:0042102"	"BP"	"GO:0042102"	"positive regulation of T cell proliferation"	"23/1074"	"105/18870"	1.84766033070461e-08	2.44495852488512e-06	2.09872996415921e-06	"PTPRC/JAK2/TNFSF13B/CORO1A/IGFBP2/CD274/CD80/CCR2/SASH3/PTPN22/IL2RA/HAVCR2/IL21/IL18/VCAM1/LGALS9/CD28/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/CCL5"	23
"GO:1902105"	"BP"	"GO:1902105"	"regulation of leukocyte differentiation"	"45/1074"	"321/18870"	2.03124336849892e-08	2.63989093498842e-06	2.2660581563987e-06	"TMEM176A/TYROBP/RUNX3/PRDM1/FSTL3/PTPRC/IL4I1/JAK3/CDK6/GLI3/GATA3/IFNG/CD2/CD80/CCR2/SASH3/IRF1/FGL2/RARA/IL2RA/IL15RA/IRF4/SOX13/ZC3H8/IL2RG/IL18/CAMK4/UBASH3B/PRKCA/BATF/SLAMF8/IKZF3/IL7R/LGALS9/ROR2/PTPN2/ZNF683/CD28/GATA2/HCLS1/LILRB4/FANCA/HLA-DRA/LYN/CCL3"	45
"GO:0002697"	"BP"	"GO:0002697"	"regulation of immune effector process"	"51/1074"	"389/18870"	2.25586483454619e-08	2.88038320453108e-06	2.47249451394859e-06	"TYROBP/WAS/CD84/PTPRC/CD40/IL4I1/JAK3/GATA3/IFNG/KLRB1/TGFB3/CD80/CCR2/SASH3/CXCL6/FGL2/RAC2/DNAJB9/RARA/PTPN22/KLRC1/HAVCR2/IRF4/IL21/CD226/IL18/CD96/BATF/NCF1/SLAMF8/APOA2/SCIMP/LAPTM5/IL7R/IL12A/LGALS9/MZB1/ZNF683/CD28/GATA2/SH2D1A/LILRB4/ZP3/CD47/PLCG2/UBE2J1/TAP2/HLA-DRA/KLRC3/KLRK1/LYN"	51
"GO:0002366"	"BP"	"GO:0002366"	"leukocyte activation involved in immune response"	"43/1074"	"301/18870"	2.39569701154498e-08	3.00604544184027e-06	2.58036182544684e-06	"TYROBP/SLC11A1/CD84/PTPRC/CD40/CORO1A/RELB/NKG7/JAK3/PIK3CG/GATA3/POU2AF1/IFNG/PTK2B/CD80/CCR2/NMI/FGL2/RAC2/RARA/CD180/HAVCR2/LCP1/IRF4/IL21/ANXA3/IRF8/IL18/BATF/FCER1G/EOMES/CLEC4E/LGALS9/GPR183/EXO1/ZNF683/CD28/GATA2/S100A13/PLCG2/HLA-DRA/LYN/CCL3"	43
"GO:0071356"	"BP"	"GO:0071356"	"cellular response to tumor necrosis factor"	"37/1074"	"238/18870"	2.43688762116757e-08	3.00604544184027e-06	2.58036182544684e-06	"BIRC3/TNFRSF17/JAK2/CD40/TNFSF13B/MAPK3/CCL17/IKBKB/GATA3/CCL7/CCL2/CCL8/COL1A1/KRT18/CCL20/STAT1/GBP1/TNFAIP3/PTK2B/CHI3L1/TANK/CARD14/OTULIN/LAPTM5/VCAM1/AIM2/NPNT/CXCL8/KRT8/PTPN2/SHARPIN/CASP4/CARD16/CCL5/CCL4/CCL18/CCL3"	37
"GO:0046632"	"BP"	"GO:0046632"	"alpha-beta T cell differentiation"	"25/1074"	"124/18870"	2.64845083689498e-08	3.15990576900355e-06	2.7124341185456e-06	"RUNX3/PRDM1/RELB/JAK3/GLI3/GATA3/IFNG/CD80/SASH3/GPR18/IRF1/RARA/CTSL/IRF4/IL21/ARMC5/IL2RG/IL18/BATF/EOMES/LGALS9/GPR183/ZNF683/LILRB4/HLA-DRA"	25
"GO:0072676"	"BP"	"GO:0072676"	"lymphocyte migration"	"25/1074"	"124/18870"	2.64845083689498e-08	3.15990576900355e-06	2.7124341185456e-06	"CORO1A/CCL17/PIK3CG/GATA3/CCL7/CCL2/CCL8/ADTRP/CCL20/ITGA4/PADI2/PTK2B/CCR2/ECM1/CXCL13/CXCL16/CXCL10/CXCL11/GPR183/AIF1/KLRK1/CCL5/CCL4/CCL18/CCL3"	25
"GO:0002237"	"BP"	"GO:0002237"	"response to molecule of bacterial origin"	"49/1074"	"369/18870"	2.828097634725e-08	3.31982170734332e-06	2.84970449271526e-06	"SLC11A1/CXCL2/IL12RB2/JAK2/CSF2RB/MMP9/CD40/MAPK3/CCL2/SOD2/TNFAIP3/CD274/CD80/CXCL6/CD68/IDO1/RARA/CD180/PTPN22/CMPK2/HAVCR2/CXCL9/IRF8/S100A8/CD96/PRKCA/GBP5/CXCL13/SCIMP/VCAM1/S100A9/CXCL1/HMGB2/C2/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/PDE4B/SIGIRR/PALM3/HDAC2/PLCG2/TAP2/CARD16/KLRK1/C4B/LYN"	49
"GO:0032496"	"BP"	"GO:0032496"	"response to lipopolysaccharide"	"47/1074"	"348/18870"	3.20739616661618e-08	3.70530623819565e-06	3.18060087700368e-06	"SLC11A1/CXCL2/IL12RB2/JAK2/CSF2RB/MMP9/CD40/MAPK3/CCL2/SOD2/TNFAIP3/CD274/CD80/CXCL6/CD68/IDO1/RARA/CD180/PTPN22/CMPK2/HAVCR2/CXCL9/IRF8/S100A8/CD96/PRKCA/GBP5/CXCL13/SCIMP/VCAM1/S100A9/CXCL1/HMGB2/C2/IL12A/LGALS9/CXCL10/CXCL11/CXCL8/PDE4B/SIGIRR/PALM3/HDAC2/PLCG2/CARD16/KLRK1/LYN"	47
"GO:0045580"	"BP"	"GO:0045580"	"regulation of T cell differentiation"	"31/1074"	"181/18870"	3.42714439276294e-08	3.8973057641451e-06	3.34541150839606e-06	"RUNX3/PRDM1/PTPRC/IL4I1/JAK3/GLI3/GATA3/IFNG/CD2/CD80/CCR2/SASH3/IRF1/FGL2/RARA/IL2RA/IRF4/SOX13/ZC3H8/IL2RG/IL18/CAMK4/BATF/IL7R/LGALS9/PTPN2/ZNF683/CD28/LILRB4/FANCA/HLA-DRA"	31
"GO:0002263"	"BP"	"GO:0002263"	"cell activation involved in immune response"	"43/1074"	"305/18870"	3.5405481114203e-08	3.96432448537184e-06	3.40293976376996e-06	"TYROBP/SLC11A1/CD84/PTPRC/CD40/CORO1A/RELB/NKG7/JAK3/PIK3CG/GATA3/POU2AF1/IFNG/PTK2B/CD80/CCR2/NMI/FGL2/RAC2/RARA/CD180/HAVCR2/LCP1/IRF4/IL21/ANXA3/IRF8/IL18/BATF/FCER1G/EOMES/CLEC4E/LGALS9/GPR183/EXO1/ZNF683/CD28/GATA2/S100A13/PLCG2/HLA-DRA/LYN/CCL3"	43
"GO:0042129"	"BP"	"GO:0042129"	"regulation of T cell proliferation"	"31/1074"	"182/18870"	3.90993024923827e-08	4.31158672029639e-06	3.70102647994085e-06	"TNFRSF9/PTPRC/JAK2/TNFSF13B/CORO1A/IL4I1/IGFBP2/CD274/CD80/CCR2/SASH3/IRF1/RAC2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/IL21/IL18/DLG5/VCAM1/LGALS9/CD28/LILRB4/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/CCL5"	31
"GO:0140014"	"BP"	"GO:0140014"	"mitotic nuclear division"	"40/1074"	"274/18870"	4.02082141409678e-08	4.36769227638752e-06	3.74918697449559e-06	"ANLN/TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/RANBP1/MYBL2/NCAPG/TTK/PDGFRB/SMC4/CDC20/NEK2/KIF18A/DLGAP5/KNSTRN/CCNB1/BORA/NUSAP1/KIF23/KIF2C/NUF2/CDCA5/NFIB/MKI67/INCENP/NFIA/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/INSR/UBE2C/CD28/CDCA2/PRC1"	40
"GO:0045619"	"BP"	"GO:0045619"	"regulation of lymphocyte differentiation"	"34/1074"	"212/18870"	4.09498973532385e-08	4.3828434255422e-06	3.76219258191131e-06	"RUNX3/PRDM1/PTPRC/IL4I1/JAK3/GLI3/GATA3/IFNG/CD2/CD80/CCR2/SASH3/IRF1/FGL2/RARA/IL2RA/IL15RA/IRF4/SOX13/ZC3H8/IL2RG/IL18/CAMK4/BATF/SLAMF8/IKZF3/IL7R/LGALS9/PTPN2/ZNF683/CD28/LILRB4/FANCA/HLA-DRA"	34
"GO:0050671"	"BP"	"GO:0050671"	"positive regulation of lymphocyte proliferation"	"27/1074"	"145/18870"	4.34440873262632e-08	4.58240677623976e-06	3.93349593106594e-06	"PTPRC/JAK2/CD40/TNFSF13B/CORO1A/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/PTPN22/IL2RA/HAVCR2/IL21/IL18/VCAM1/IL12A/LGALS9/GPR183/CD28/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/CCL5"	27
"GO:0032623"	"BP"	"GO:0032623"	"interleukin-2 production"	"17/1074"	"63/18870"	5.1169896538443e-08	5.24527474657448e-06	4.50249571468731e-06	"NAV3/PTPRC/HOMER2/GATA3/GBP1/TNFAIP3/CD80/CCR2/SASH3/HAVCR2/IRF4/LAPTM5/CD28/PDE4B/LILRB4/PLCG2/CD3E"	17
"GO:0032663"	"BP"	"GO:0032663"	"regulation of interleukin-2 production"	"17/1074"	"63/18870"	5.1169896538443e-08	5.24527474657448e-06	4.50249571468731e-06	"NAV3/PTPRC/HOMER2/GATA3/GBP1/TNFAIP3/CD80/CCR2/SASH3/HAVCR2/IRF4/LAPTM5/CD28/PDE4B/LILRB4/PLCG2/CD3E"	17
"GO:0009615"	"BP"	"GO:0009615"	"response to virus"	"54/1074"	"436/18870"	6.12635828627474e-08	6.19272716770938e-06	5.31578017968429e-06	"IFNGR1/EIF2AK2/PTPRC/OAS1/JAK2/CD40/PIM2/IKBKB/CDK6/HSPB1/GATA3/CCL8/POU2AF1/IFNG/ITGB6/IFIH1/STAT1/ODC1/GBP1/TNFAIP3/IFIT3/NMI/ZBP1/IRF1/FGL2/APOBEC3A/APOBEC3F/H19/SERINC3/PTPN22/TANK/IFI44/IL21/CXCL9/ARMC5/SKP2/GBP5/MX1/IFNAR2/ZDHHC1/IFI16/AIM2/MLKL/IL12A/LGALS9/CXCL10/ISG20/MX2/PLSCR1/ZDHHC11/APOBEC3G/MMP12/CCL5/CCL4"	54
"GO:1901623"	"BP"	"GO:1901623"	"regulation of lymphocyte chemotaxis"	"11/1074"	"26/18870"	6.75665101226789e-08	6.66420037363387e-06	5.72048845366961e-06	"CCL7/CCL2/PADI2/PTK2B/CCR2/CXCL13/CXCL10/KLRK1/CCL5/CCL4/CCL3"	11
"GO:0032946"	"BP"	"GO:0032946"	"positive regulation of mononuclear cell proliferation"	"27/1074"	"148/18870"	6.77591134444774e-08	6.66420037363387e-06	5.72048845366961e-06	"PTPRC/JAK2/CD40/TNFSF13B/CORO1A/PRLR/IGFBP2/CD274/CD80/CCR2/SASH3/PTPN22/IL2RA/HAVCR2/IL21/IL18/VCAM1/IL12A/LGALS9/GPR183/CD28/ZP3/CD3E/AIF1/HLA-DPB1/HLA-DPA1/CCL5"	27
"GO:0071674"	"BP"	"GO:0071674"	"mononuclear cell migration"	"33/1074"	"207/18870"	7.48123072164643e-08	7.23579113548899e-06	6.21113671904184e-06	"CORO1A/MAPK3/CCL17/PIK3CG/GATA3/CCL7/CCL2/CCL8/ADTRP/CCL20/ITGA4/PADI2/PTK2B/CCR2/ECM1/PLA2G7/CXCL13/SLAMF8/CXCL16/S100A12/IL12A/LGALS9/CXCL10/CXCL11/GPR183/CD47/AIF1/KLRK1/LYN/CCL5/CCL4/CCL18/CCL3"	33
"GO:0046635"	"BP"	"GO:0046635"	"positive regulation of alpha-beta T cell activation"	"18/1074"	"72/18870"	7.55592369190936e-08	7.23579113548899e-06	6.21113671904184e-06	"RUNX3/PTPRC/JAK2/GLI3/IFNG/CD80/CCR2/SASH3/RARA/PTPN22/IL2RG/IL18/IL12A/LGALS9/CD28/LILRB4/CD3E/HLA-DRA"	18
"GO:0090068"	"BP"	"GO:0090068"	"positive regulation of cell cycle process"	"38/1074"	"262/18870"	1.03986857473154e-07	9.82878374921574e-06	8.43693778678287e-06	"DBF4/RAD18/SPAG5/BIRC5/RANBP1/FAM83D/EZH2/NCAPG/CCND1/RAD51AP1/PDGFRB/SMC4/ECT2/CDC20/STIL/MED1/DLGAP5/CCNB1/RDX/NUSAP1/KIF23/IGF1R/PLK4/CDCA5/INCENP/MAD2L1/FEN1/BUB1/CDK1/INSR/RRM2/UBE2C/CD28/PBX1/PLSCR1/PLCG2/SMC5/AIF1"	38
"GO:0071675"	"BP"	"GO:0071675"	"regulation of mononuclear cell migration"	"24/1074"	"125/18870"	1.32682925252416e-07	1.2380337563937e-05	1.06271681696773e-05	"CORO1A/MAPK3/CCL7/CCL2/ADTRP/CCL20/ITGA4/PADI2/PTK2B/CCR2/ECM1/PLA2G7/CXCL13/SLAMF8/IL12A/LGALS9/CXCL10/CD47/AIF1/KLRK1/LYN/CCL5/CCL4/CCL3"	24
"GO:0050866"	"BP"	"GO:0050866"	"negative regulation of cell activation"	"34/1074"	"223/18870"	1.44464691168093e-07	1.33090382572326e-05	1.14243563235527e-05	"CD9/TYROBP/RUNX3/CD84/PAG1/PTPRC/IL4I1/JAK3/GLI3/TNFAIP3/CD274/CD80/CCR2/IRF1/FGL2/APOE/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/ZC3H8/DLG5/BANK1/UBASH3B/SAMSN1/LAPTM5/MNDA/LGALS9/PTPN2/TBC1D10C/LILRB4/LYN/RASSF5"	34
"GO:0000070"	"BP"	"GO:0000070"	"mitotic sister chromatid segregation"	"30/1074"	"184/18870"	1.75180631926983e-07	1.59370579895573e-05	1.36802243485085e-05	"TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/MYBL2/NCAPG/TTK/SMC4/CDC20/NEK2/KIF18A/DLGAP5/KNSTRN/CCNB1/NUSAP1/KIF23/KIF2C/NUF2/CDCA5/INCENP/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/UBE2C/PRC1"	30
"GO:0098813"	"BP"	"GO:0098813"	"nuclear chromosome segregation"	"42/1074"	"312/18870"	1.88680417124511e-07	1.69532848868172e-05	1.45525441927742e-05	"CENPQ/ASPM/TRIP13/SPAG5/TPX2/BIRC5/KIF4A/MISP/MYBL2/FAM83D/CCNE1/NCAPG/TTK/SMC4/ECT2/ACTR3/CDC20/NEK2/MND1/KIF18A/DLGAP5/KNSTRN/CCNB1/BRIP1/NUSAP1/KIF23/ACTR2/KIF2C/NUF2/HORMAD1/CDCA5/INCENP/CCNB2/MAD2L1/PLK1/CDT1/KIFC2/BUB1/CDK1/UBE2C/RMI2/PRC1"	42
"GO:0050851"	"BP"	"GO:0050851"	"antigen receptor-mediated signaling pathway"	"32/1074"	"205/18870"	1.93113813107957e-07	1.71400284365819e-05	1.47128431424355e-05	"FYN/PRKCH/LCP2/PTPRC/IKBKB/KCNN4/CD79A/GATA3/LPXN/GBP1/FCHO1/THEMIS2/PTPN22/SLC39A6/CD226/BANK1/CD8A/CD3G/LAPTM5/TRAT1/MNDA/CD3D/PTPN2/CD28/SH2D1A/PDE4B/LILRB4/PLCG2/CD3E/IGKC/HLA-DPB1/LYN"	32
"GO:0035747"	"BP"	"GO:0035747"	"natural killer cell chemotaxis"	"7/1074"	"10/18870"	1.95748544391223e-07	1.7164553085293e-05	1.47338948758644e-05	"PIK3CG/CCL7/CCL2/KLRK1/CCL5/CCL4/CCL3"	7
"GO:0035710"	"BP"	"GO:0035710"	"CD4-positive, alpha-beta T cell activation"	"23/1074"	"119/18870"	2.12667203308723e-07	1.84260941152486e-05	1.58167901207678e-05	"RUNX3/RELB/NKG7/JAK3/GATA3/IFNG/CD274/CD80/SASH3/RARA/IL2RA/CTSL/IRF4/IL21/ARMC5/IL2RG/IL18/BATF/LGALS9/GPR183/CD28/CD3E/HLA-DRA"	23
"GO:2000401"	"BP"	"GO:2000401"	"regulation of lymphocyte migration"	"17/1074"	"69/18870"	2.1791671975259e-07	1.86587986630512e-05	1.60165415694318e-05	"CORO1A/CCL7/CCL2/ADTRP/CCL20/ITGA4/PADI2/PTK2B/CCR2/ECM1/CXCL13/CXCL10/AIF1/KLRK1/CCL5/CCL4/CCL3"	17
"GO:0044772"	"BP"	"GO:0044772"	"mitotic cell cycle phase transition"	"55/1074"	"470/18870"	3.06252885205e-07	2.59175406804882e-05	2.22473791149532e-05	"DBF4/E2F2/PKD1/ANLN/TRIP13/GTSE1/RBL1/BIRC5/CDKN3/PIM2/CCNE1/CDK6/EZH2/CCL2/CCND1/FOXM1/E2F3/TTK/CDC20/STIL/CKS2/DLGAP5/CCNB1/RDX/CCNG2/NUF2/CTDSP1/CCNA2/SKP2/CDCA5/NFIB/CDKN2A/INCENP/CCNB2/RPL26/NFIA/MAD2L1/MELK/PLK1/BUB1/CDK1/RRM2/CKS1B/NABP1/UBE2C/CRLF3/FBXL7/MUC1/PBX1/EIF4EBP1/BLM/SMC5/AIF1/E2F4/UBD"	55
"GO:0051250"	"BP"	"GO:0051250"	"negative regulation of lymphocyte activation"	"28/1074"	"169/18870"	3.1829287688403e-07	2.66268454938157e-05	2.28562398585205e-05	"TYROBP/RUNX3/PAG1/IL4I1/JAK3/GLI3/TNFAIP3/CD274/CD80/IRF1/FGL2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/ZC3H8/DLG5/BANK1/SAMSN1/LAPTM5/MNDA/LGALS9/PTPN2/TBC1D10C/LILRB4/LYN/RASSF5"	28
"GO:0002695"	"BP"	"GO:0002695"	"negative regulation of leukocyte activation"	"31/1074"	"202/18870"	4.38605835292682e-07	3.62746962415925e-05	3.11378664170104e-05	"TYROBP/RUNX3/CD84/PAG1/PTPRC/IL4I1/JAK3/GLI3/TNFAIP3/CD274/CD80/CCR2/IRF1/FGL2/IDO1/PTPN22/IL2RA/HAVCR2/LRRC32/ZC3H8/DLG5/BANK1/SAMSN1/LAPTM5/MNDA/LGALS9/PTPN2/TBC1D10C/LILRB4/LYN/RASSF5"	31
